building,street,landmark,locality,vtc,district,state
No A/3 Bhavani Nivas,H N Layout 10th Cross Swimming Pool Extension,Opposite Ganga Bharathi Service Station,Malleswaram,,Bangalore,Karnataka
#59,17th Cross,6th Main Corner,Malleshwaram,,Bangalore,Karnataka
,,B-2 Maitree Apts,6th Main 15th Cross Malleswaram,,Bangalore,Karnataka
#25/1,16th Cross,,Malleswaram,,Bangalore,Karnataka
,,"#34, 1st Floor, 3rd Main Road",Palace Guttahalli,,Bangalore,Karnataka
# 317,15 TH CROSS,KAADU MALLESHWARA TEMPLE,SAMPIGE ROAD,,Bangalore,Karnataka
,,#23 West Link Road,"4th Cross , Malleshwaram",,Bangalore,Karnataka
,,B-3-28 Anandashram Buildings,"10 th Main , 13th cross , Malleswaram",,Bangalore,Karnataka
,,"#172/ A , 3rd Main Road",palace Guttahalli,,Bangalore,Karnataka
"#3594, 35/1",8th Cross New 2nd Cross,Near kodhanadaramamandira,Gayathri Nagar,,Bangalore,Karnataka
,,#30 pavan,13th Cross Malleswaram,,Bangalore,Karnataka
,,"#29 , 1st Cross","V R Puram , Palace Guttahalli",,Bangalore,Karnataka
,,#77/8 2nd Main,"Vyalikaval Road ,Malleswaram",,Bangalore,Karnataka
,,"#308 ,Haritha Apts,","112/ ,11 Th Cross Malleswaram",,Bangalore,Karnataka
#Flat No.404. Amity Palace,"9th Cross, Divanara Palya","Gokula, 1st Stage",,,Bangalore,Karnataka
,,#46/1  West Park Road,Malleswaram,,Bangalore,Karnataka
,,"#11, 4th Floor , 5th Temple Street","5th Cross , Malleswaram",,Bangalore,Karnataka
,,"#21/1 1st Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#16, 5th Main Road",Palace Guttahalli,,Bangalore,Karnataka
,,"#1, Snehalaya 3rd Cross, Muneshwara Block,",Palace Guttahalli,,Bangalore,Karnataka
,,"#14, C K Street",Palace Guttahalli,,Bangalore,Karnataka
,,"#11/1 , 2nd Floor , 3rd Cross","Nagappa Street , Palace Guttahalli",,Bangalore,Karnataka
,,"#1, 1st Cross, Nagappa Street",Palace Guttahalli,,Bangalore,Karnataka
#132,Margosa Road,Side of Leela Hospital,Malleshwaram,Bangalore North,Bangalore,Karnataka
,,"#13, '' E '' Main , 4th Cross","Muneshwara Block , Palace Guttahalli",,Bangalore,Karnataka
,,"#10/2 , 2nd Cross , Kempanna Layout",Palace Guttahalli,,Bangalore,Karnataka
,,#54,"7th Main, Mosque Road",,Bangalore,Karnataka
,,"#157,1st Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#46, 8th Block, N T I Staff Qtrs",Palace Guttahalli,,Bangalore,Karnataka
,,"#409, 3rd Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#40 , 3rd Cross , M D Block,",Palace Guttahalli,,Bangalore,Karnataka
#2,2ND CROSS,,M D BLOCK,,Bangalore,Karnataka
,,"#C-9, Chenna Krishnappa Street",Malleswaram,,Bangalore,Karnataka
,,"#105,Haritha Apts, 11th Cross,5th Main",Malleswaram,,Bangalore,Karnataka
No W-72,3rd Cross Pipe Line,,Malleswaram,Bangalore North,Bangalore,Karnataka
,,"#3, 2nd Cross, 1st Floor, Out House","M D Block, Malleswaram",,Bangalore,Karnataka
#17/1,"7th Cross, Lower Palace orchid",,Sadashiva nagar,,Bangalore,Karnataka
,,"#369, 5th Cross, V R Puram",V V Giri Colony,,Bangalore,Karnataka
,,"#1, 12th Cross, Swimming Pool Ext",Malleswaram,,Bangalore,Karnataka
,,NULL,Palace Guttahalli,,Bangalore,Karnataka
#4,"13th B main, 18th cross",,malleshwaram,,Bangalore,Karnataka
"#153/2,Flat No.103,Prajwal Mansion","7th Main,9th Cross",Near Indira clinic,Malleswaram,Bangalore North,Bangalore,Karnataka
#10/1 S-2 panchajanya apartment,13th cross 8th main,,4th cross M T Layout,bangalore,Bangalore,Karnataka
,,"#478, 4th Cross, Muneshwara Block",Palace Guttahalli,,Bangalore,Karnataka
#3,9TH CROSS,,"SWIMMING POOL EXTN, MALLESWARAM",,Bangalore,Karnataka
#45/1,,,1st Main Road Temple Street 13th Cross Malleswaram,Bangalore North,Bangalore,Karnataka
#U4/1,,,2nd Main 4th cross Jabbar Block P G Halli,Bangalore North,Bangalore,Karnataka
,,"#09 , Masque , Paralel Road",Palace Guttahalli,,Bangalore,Karnataka
No 75,Pipe Line 3rd Cross,,Srirampuram,Bangalore North,Bangalore,Karnataka
No 37,11th Cross,,Vyalikaval,Bangalore North,Bangalore,Karnataka
"#8, 1st Floor",New 1st Temple Road,Near Adigas,Malleshwaram,Bangalore North,Bangalore,Karnataka
,,"#18/2 , Nagappa Street",Palace Guttahalli,,Bangalore,Karnataka
MANTRI GREENS # D-701,NO 1 SAMPIGE ROAD,NEXT TO MANTRI MALL,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
"#587/15, HANUMAN GIRI","7TH MAIN, K N EXTN",,YASHAWANTAPURA,Bangalore North,Bangalore,Karnataka
# 23,J Block,,Malleswaram,Bangalore North,Bangalore,Karnataka
#62,4th Cross,,Ashok Nagar,,Bangalore,Karnataka
,,"#15, A A N Block, 1st Main Road,","Mariyamma Temple Street,Vyalikaval",,Bangalore,Karnataka
,,"#11, Muneshwara Block","Nagappa Street, , Palace Guttahalli",Bangalore North,Bangalore,Karnataka
#187,1st Mainroad 1st Cross,Mahalakshmi Temple,Sadashivanagar,Bangalore North,Bangalore,Karnataka
"#7,Balaji Nilaya","10 th Cross,Pipe Line Road",,Malleshwaram,Bangalore North,Bangalore,Karnataka
#18,"11th Main,14th Cross",,Subramanya Nagar,Bangalore North,Bangalore,Karnataka
,,"#33/1 , D N R Layout , 3rd Cross",Palace Guttahalli,,Bangalore,Karnataka
,,"NO.8/4, 3RD CROSS, NAGAPPA STREET",PALACE GUTAHALLI,Bangalore North,Bangalore,Karnataka
# 52,9TH BLOCK,NEAR P.G.HALLI METERNITY HOME,PALACE GUTTAHALLI,,Bangalore,Karnataka
,,"#275 , 15th Cross",Vyalikaval,,Bangalore,Karnataka
#39,13 th A Cross,,"Vyalikaval,Malleshwaram",Bangalore North,Bangalore,Karnataka
"#2, New No 7","S P Avenue Road,",,Malleshwaram,Bangalore North,Bangalore,Karnataka
,,"#34, Dodda Byarappa Street",Palace Guttahalli,,Bangalore,Karnataka
#25,"Kempanna Street, Doddamavalli,",Padmavathi Quality Industies,,,Bangalore,Karnataka
"2,3rd Floor",B/W Sampige Road And East Park Road,,"14th Cross, Malleshwaram",,Bangalore,Karnataka
#154 SOUKHYA,COCONUT AVENUE ROAD,,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
#44/1,17th Cross,Near Siddashrama,"Ranganathapura, Malleswaram",,Bangalore,Karnataka
# J- 72/1,"J Block, Pipe Line",,Malleswaram,,Bangalore,Karnataka
#U32,1st Floor,Pipeline,Malleshwaram,Bangalore North,Bangalore,Karnataka
#67/2,,4th Cross Link Road,Malleshwaram,Bangalore North,Bangalore,Karnataka
,,,,Bangalore North,Bangalore,Karnataka
,,,,Bangalore North,Bangalore,Karnataka
No 1,3rd Temple Street 13th Cross,,Siddanthi Block Malleshwaram,Bangalore North,Bangalore,Karnataka
,,,,Bangalore North,Bangalore,Karnataka
# U -48,1st cross M V block,,P G halli,Bangalore North,Bangalore,Karnataka
#12,"4th cross, 4th main",Near K C G hospital,"M D block, malleshwaram",Bangalore North,Bangalore,Karnataka
,,,,Bangalore North,Bangalore,Karnataka
,,#11/6,,,Bangalore,Karnataka
,,"#32/14, D G Q A Residential Complex",J C nagar,,Bangalore,Karnataka
,,"#32/14, D G Q Residential Complex",J C nagar,,Bangalore,Karnataka
#V-44,,,"Pipe Line,Malleswaram",Bangalore North,Bangalore,Karnataka
,,"#2, 1st Main Road,",Palace Guttahalli,,Bangalore,Karnataka
,,"#10/5,2nd Main Road, C Cross, Muneshwara Block",Malleswaram,,Bangalore,Karnataka
,,"#157,1st Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#31/2, A Main Road,",Palace Guttahalli,,Bangalore,Karnataka
,,"#9, 1st Main Road,","Hebbal Mill, Ganganagar",,Bangalore,Karnataka
"#12, Corporation School Inside.",11th Cross.,,Malleswaram,,Bangalore,Karnataka
,,"#24, 1st  Cross, 1st main,",Palace Guttahalli,,Bangalore,Karnataka
,,#54,"7th Main, Mosque Road",,Bangalore,Karnataka
,,"#5th Cross, Jabbar Block",Malleswaram,,Bangalore,Karnataka
,,"#4/U , 1st Cross, 2nd Floor","Nagappa Street , Palace Guttahalli",,Bangalore,Karnataka
,,"#134, 8th Cross, Jabbar Block",Palace Guttahalli,,Bangalore,Karnataka
,,,Palace Guttahalli,,Bangalore,Karnataka
"#D2, Kailash Apts","8th Main, 11th Cross",,Malleshwaram,,Bangalore,Karnataka
#54,12th A Cross,,NULL,Bangalore North,Bangalore,Karnataka
"#45-S2, Chiliume Apartments",West Park Road,Near M L A School,NULL,Bangalore North,Bangalore,Karnataka
No 496,2nd Cross 3rd Block,3rd Stage 8th Main,NULL,Bangalore North,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
"NO.102 "" GEETHANJALI""","157/2, 8TH MAIN, 8TH CROSS","OPPOSITE SBM, PBB",NULL,Bangalore North,Bangalore,Karnataka
No 118,,,NULL,Bangalore North,Bangalore,Karnataka
No 1-5,13th Cross,,NULL,Bangalore North,Bangalore,Karnataka
Old No 19 New No 46,2nd Cross,,NULL,Bangalore North,Bangalore,Karnataka
No 39,8th Cross,,NULL,Bangalore North,Bangalore,Karnataka
No 25,1st Cross,,NULL,Bangalore North,Bangalore,Karnataka
"208, Sri Ranga Apartments","30, 1st Temple Street",Near Canara Bank Kodandaramapuram Branch,NULL,Bangalore North,Bangalore,Karnataka
"208, Sri Ranga Apartments","30, Temple Street",Near Canara Bank Kodandaramapuram Branch,NULL,Bangalore North,Bangalore,Karnataka
"63, trinetra apartments","2ND Temple Road, 15TH Cross road",opp kadumalleshwara temple,NULL,Bangalore North,Bangalore,Karnataka
No.10,13th Cross,Near Vinayaka Circle,NULL,Bangalore North,Bangalore,Karnataka
NO 156,1ST MAIN 2ND CROSS,WEST OF CHORD ROAD,MANJUNATH NAGAR,Bangalore North,Bangalore,Karnataka
No.703,"18th Main Road, 1st Block, 3rd Stage",Near Manjunath Temple,Basaveshwara Nagar,Bangalore North,Bangalore,Karnataka
NO.410,"12th Main Road, 1st Block 3rd Stage,",,Manjunatha Nagar,Bangalore North,Bangalore,Karnataka
No.243,"5th Main Road, 1st Stage, 1st Phase,",Near Modi Hospital,Manjunatha Nagar,Bangalore North,Bangalore,Karnataka
#16,"4th Main, 1st Cross",,Shankaranagar,Bangalore North,Bangalore,Karnataka
NO 92,,NEAR WEST OF CHORD ROAD,MANJUNATH NAGAR,Bangalore North,Bangalore,Karnataka
NO. 1975,"8TH MAIN ROAD, 2ND STAGE, E BLOCK",,RAJAJI NAGAR,Bangalore North,Bangalore,Karnataka
NO 2073,8 TH MAIN E BLOCK,,2 ND STAGE RAJAJINAGAR,,Bangalore,Karnataka
NO 24,8TH MAIN ROAD,PUSHPANJALI THEATER,MANJUNATH NAGAR,,Bangalore,Karnataka
#423/70,2nd Floor 10th G Main Road,,6th Block Circle Rajajinagar,Bangalore North,Bangalore,Karnataka
NO 110,70 TH CROSS 5 TH BLOCK,OPP V I P SCHOOL,RAJAJI NAGAR,,Bangalore,Karnataka
#29,2nd main  1st phase W.O.C.Road,Navarang Theatre,Manjunath nagar,,Bangalore,Karnataka
NO. 856/A,"14TH CROSS,",NEAR MODI HOSPITAL,RAJAJI NAGAR,Bangalore North,Bangalore,Karnataka
#70/Y,14th Main road,,3rd Block,Bangalore North,Bangalore,Karnataka
NO 1395/A,2ND STAGE D BLOCK,,RAJAJINAGAR,,Bangalore,Karnataka
#781,12th Cross road Rajajinagar,,Indiranagara,BANGALORE,Bangalore,Karnataka
#119/34,14th A Cross,Near TTD Temple,Rajajinagar,,Bangalore,Karnataka
#726,19th main 1st Block 3rd Stage,,Manjunathanagar Rajajinagar,,Bangalore,Karnataka
# 39,1 ST MAIN ROAD SHIVA NAGAR,,RAJAJI NAGAR,,Bangalore,Karnataka
# 242,"6TH CROSS, INDIRANAGAR SLUM",,RAJAJINAGAR,BANGALORE,Bangalore,Karnataka
#322/B,1ST Cross 2nd Phese,,Manjunathanagar thimmaiah Road,Bangalore North,Bangalore,Karnataka
#81,8th Cross,,Rajajinagar,,Bangalore,Karnataka
no.1059/c,"18TH B MAIN ROAD, 5TH BLOCK",BEHIND N P SCHOOL,,,Bangalore,Karnataka
,,,NULL,,Bangalore,Karnataka
#192,3rd main Road,W O C Road,"1st Phase, 2nd Stage, Manjunathanagar",Bangalore North,Bangalore,Karnataka
172 Grey Stone,5th Main 2nd Stage 2nd phase,Near Nandini Theatre,Mahalakshmi Layout,,Bangalore,Karnataka
"#153,","2nd Cross, 2nd Block",Near Venkateshwara Sweets,"juganahalli, Rajajinagar",,Bangalore,Karnataka
#234,8th C Main Road 3rd Cross,,Manjunathanagar,,Bangalore,Karnataka
#278,2nd main road 4th cross shivanagar,,Rajajinagar,Bangalore North,Bangalore,Karnataka
# 321,4 TH MAIN 6 TH PHASE 1 ST STAGE INDUSTRIAL TOWN,NEAR GIRIAS SHOW ROOM W O C ROAD,RAJAJINAGAR,,Bangalore,Karnataka
# 36/A,6TH MAIN ROAD,SRIRAMAMANDIRA,RAJAJINAGAR,,Bangalore,Karnataka
#19 A,"7th Main Road,42nd Cross,4th Block",,rajaji nagar,Bangalore North,Bangalore,Karnataka
"#456/45,Keshava nilaya","9th Main road,2nd Block",Near L F Dispensary,Rajajinagar,,Bangalore,Karnataka
#7,3rd stage 2 nd block 1st main,,Basaveshwaranagar,Bangalore North,Bangalore,Karnataka
#77,4th Main 1st Phase WCR,,Manjunatha Nagar,,Bangalore,Karnataka
#178/A 1st Floor,"1st Main, 1st Phase",,"Manjunath Nagar,",Bangalore North,Bangalore,Karnataka
#13/1,2nd B Main Road,,Rajajinagar . Juganahalli.,,Bangalore,Karnataka
no.03,"8th main ,8th cross",near doddamma devi temple,shivanagar,Bangalore North,Bangalore,Karnataka
#22,13th Cross Pipe line cholur palya,,Vijayanagar,Bangalore North,Bangalore,Karnataka
#11,34th B Cross 2nd Block,,Juganahalli . Rajaji Nagar,,Bangalore,Karnataka
#73/2,"2nd Cross, 20th B Main, 1st R Block",,Rajaji Nagar,Bangalore North,Bangalore,Karnataka
589,"10th Cross,Indiranagar Slum",,Rajajinagar Nagar,,Bangalore,Karnataka
#536,47th Main Road 4th Block,Near Macidhi,Rajaji Nagar,,Bangalore,Karnataka
#60/21,"7th main road,51st cross",Behind sai baba temple,Rajajinagar,,Bangalore,Karnataka
# 239,27 TH CROSS 2 ND BLOCK,,RAJAJI NAGAR,,Bangalore,Karnataka
NO 82 C 2,12TH MAIN ROAD,,SHIVANAGAR,,Bangalore,Karnataka
No 82/12-2,2nd Cross 1st R Block,,Rajajinagar,,Bangalore,Karnataka
#217,1st Main Road,,Prakash Nagar,,Bangalore,Karnataka
NO 126,1ST MAIN ROAD 1ST STAGE 3RD PHASE,,MANJUNATHA NAGAR,,Bangalore,Karnataka
NO 450,"8TH CROSS, 3RD MAIN  2ND PHASE, 1ST STAGE",,MANJUNATHANAGARA,Bangalore North,Bangalore,Karnataka
#4159,9th Cross,,Subramanya Nagar,Bangalore North,Bangalore,Karnataka
#477/7,38th Cross 2nd Block,,Rajajinagar,,Bangalore,Karnataka
NO 809,14TH MAIN 3RD BLOCK,,RAJAJINAGR,,Bangalore,Karnataka
#10-1/12 S F 2 SUNRISE APARTMENT,71A CROSS 18TH  B MAIN 5TH BLOCK,,Rajajinagar,Bangalore North,Bangalore,Karnataka
#2443,12TH MAIN E block,,2nd stage rajajinagar,Bangalore North,Bangalore,Karnataka
#415,20th Main W.O.C Road,1st Block opp. Tata Motors,Rajajinagar,Bangalore North,Bangalore,Karnataka
#13,"6th Cross, 1st Stage, 2nd Phase",,"Manjunath Nagar, Rajajinagara",Bangalore North,Bangalore,Karnataka
#119,,,12th B Main Road 6th Block Rajajinagar,Bangalore North,Bangalore,Karnataka
#328,"8TH MAIN,8TH CROSS",NEAR FLORENCE HIGH SCHOOL,GOVINDRAJ NAGAR,,Bangalore,Karnataka
NO 129,20TH B MAIN,NEAR ISKON,RAJAJINAGAR,,Bangalore,Karnataka
#171,"13th main road, 3rd block,",,rajajinagar,Bangalore North,Bangalore,Karnataka
#403,"sarang apartament, shivanagar",w o c road,rajajinagar,Bangalore North,Bangalore,Karnataka
,,House No A /2,2nd main Shivanagar Rajajinagar,,Bangalore,Karnataka
# S-1824,4 TH CROSS 2 ND STAGE D BLOCK,BEHIND SRI SAI WOMENS COLLEGE,RAJAJINAGAR,Bangalore North,Bangalore,Karnataka
NO. 24 - 4,4TH CROSS,,RAJAJINAGAR,,Bangalore,Karnataka
#117,5TH CROSS 2ND PHASE 3RD MAIN,,MANJUNATHA NAGAR,,Bangalore,Karnataka
#935,17th Main  3rd Block,Near ESI Hospital,Rajajinagar,,Bangalore,Karnataka
#989,3RD BLOCK 54TH CROSS,BEHIND RAM MANDIR,RAJAJINAGAR,,Bangalore,Karnataka
# 1339/56,,E Block 5th Main,Rajajinagar,Bangalore North,Bangalore,Karnataka
#989,54TH CROSS 3RD BLOCK,BEHIND RAM MANDIR,RAJAJINAGAR,,Bangalore,Karnataka
NO 173,14TH CROSS,,rajajinagar,,Bangalore,Karnataka
# 801/A,62ND CROSS,,5TH BLOCK RAJAJINAGAR,,Bangalore,Karnataka
# 133,4th Cross 2nd Phase 40 Feet Road,,Manjunathanagar,,Bangalore,Karnataka
#154K,19th A Main 14th Cross 1st Block,,Rajajinagar,,Bangalore,Karnataka
#192/A,2nd Main 4th Block,,Rajajinagar,,Bangalore,Karnataka
# 521,63 RD CROSS 11 TH MAIN ROAD 5 TH BLOCK,,RAJAJINAGAR,,Bangalore,Karnataka
# 538,"10TH CROSS, WEST OF CHORD ROAD, INDIRANAGARA",,RAJAJI NAGARA,BANGALORE,Bangalore,Karnataka
# 241,"1ST MAIN ROAD, 1ST STAGE, 3RD PHASE",WEST OF CHORD ROAD,RAJAJINAGAR,BANGALORE,Bangalore,Karnataka
# 521,63 RD CROSS 11 TH MAIN ROAD 5 TH BLOCK,,RAJAJINAGAR,,Bangalore,Karnataka
#904,"1rd Cross, Indiranagar",,Rajajinagar,Bangalore North,Bangalore,Karnataka
# 485,"9TH CROSS, WEST OF CHORD ROAD",NEAR MODI HOSPITAL,INDIRANAGAR,BANGALORE,Bangalore,Karnataka
#242,1st A main 2nd cross shivanagar 3rd block,,Rajaji nagar,Bangalore North,Bangalore,Karnataka
,,NULL,7th Main 51st Cross 4th Block,,Bangalore,Karnataka
# 57 OLD NO 116,12 TH MAIN ROAD,NEAR PUSHPANJALI THEATRE,SHIVA NAGAR,,Bangalore,Karnataka
#408,6th main road 1st stage 6th phase,,Rajaji nagar,Bangalore North,Bangalore,Karnataka
17 1st floor,11th main,,manjunathanagara,,Bangalore,Karnataka
#250,3rd stage w o c road,Nadgir polytechnic  near,manjunatha nagara,,Bangalore,Karnataka
# 307/B,5th phase 8th cross 1st stage W O C road,,Rajaji Nagar,Bangalore North,Bangalore,Karnataka
NO 201,29th Cross 2nd Block,Near Basaveswara College,Rajajinagara,Rajajinagar,Bangalore,Karnataka
#6135/A,3rd Cross 6th Block,,Rajajinagar,,Bangalore,Karnataka
# 168,11TH MAIN ROAD,NEAR RASANA SCHOOL,MANJUNATHANAGAR,,Bangalore,Karnataka
#206/B,53 rd cross 4 th block,,rajajinagar,Bangalore North,Bangalore,Karnataka
#594,1st Main Road 2nd Block,,Rajajinagar,,Bangalore,Karnataka
#35/,"19th D Main,1st Block",Sagar Hotel,Rajajinagara,Bangalore North,Bangalore,Karnataka
#1820/19,4th cross. B block,BHD SAI MAHILA COLLEGE,RAJAJINAGAR 2ND STAGE,,Bangalore,Karnataka
#2375/C,13th main A Block,,2nd Stage Rajajinagar,,Bangalore,Karnataka
#838,13th cross,,indira nagara,,Bangalore,Karnataka
# 106/1,5th Main 8th Cross 3rd Stage,Near Indian School,Rajajinagar,,Bangalore,Karnataka
#97,2nd Main Road,,Shivanagar . Rajaji Nagar,Bangalore North,Bangalore,Karnataka
# 183,"12TH MAIN, 3RD STAGE, WEST OF CHORD ROAD",NEAR INDIAN HIGH SCHOOL,BASAVESHWAR NAGAR,BANGALORE,Bangalore,Karnataka
#4/5,8th Cross 1st N Block,,Rajajinagar,Bangalore North,Bangalore,Karnataka
#109/2,3rd main,,rajajinagar,,Bangalore,Karnataka
#114,3rd main,,rajajinagar,,Bangalore,Karnataka
#81,5th main road 8th cross  3rd stage,,manjunatha nagara,,Bangalore,Karnataka
"#2933, Suprasad Nilaya","1st Cross, D Block, M K K Road, 2nd Stage,",,Rajajinagar,,Bangalore,Karnataka
#209,40feet road,Near muneshwara temple,Manjunath nagar,,Bangalore,Karnataka
408,"6TH MAIN, 6TH PHASE, 1ST STAGE, W C R",,BASAVESHWARA NAGAR,Bangalore North,Bangalore,Karnataka
#2879,14th Main E Block,,2nd Stage Rajajinagar,,Bangalore,Karnataka
#8/86,3rd Cross 6th Block,,,Rajajinagar,Bangalore,Karnataka
#41,6th Cross 4th Block,Near K B Temple,Rajajinagar,,Bangalore,Karnataka
#113,2nd Main Road,,"Industriyal Town,Rajajai Nagar",,Bangalore,Karnataka
#738/1,58th Cross 4th Block,,Rajajinagar,,Bangalore,Karnataka
,,K B Temple,NULL,,Bangalore,Karnataka
#88,"3rd Cross,",Near Modi Hospital.,Indira Nagar,,Bangalore,Karnataka
#81/91,"12th C Main,",,"Shiva Nagar, Rajajinagar",,Bangalore,Karnataka
44 1st floor,8th B main road 2nd block 3rd stage,,manjunatha nagar,,Bangalore,Karnataka
25/29,2ne cross shivanagar,,rajajinagar,Bangalore North,Bangalore,Karnataka
"#1029,2nd Floor","4th block,59th cross",Next Brahmana bank,Rajajinagara,Bangalore North,Bangalore,Karnataka
,,#7/2/53 1ST A CROSS 6TH BLOCK,RAJAJI NAGAR,Bangalore North,Bangalore,Karnataka
#838,3rd Main Road 'E' Block,,Rajajinagar,Bangalore North,Bangalore,Karnataka
#23,11th main road,,Shivanagara,Bangalore North,Bangalore,Karnataka
#817,61st Cross,,Rajajinagar,,Bangalore,Karnataka
#146,15th Cross 1st Block,,Rajajinagar,Bangalore North,Bangalore,Karnataka
OLD NO 295 NEW NO 6/1,66TH CROSS,NEAR MURUGA TEMPLE,RAJAJINAGAR 5TH BLOCK,,Bangalore,Karnataka
"986,1st Floor",4th Main Road D Block 2nd Stage,Near Citizen Co-operative Bank,Rajajinagar,Bangalore North,Bangalore,Karnataka
298,4th c main 2nd block,,basaveshwar nagar,,Bangalore,Karnataka
#4,33rd Cross 2nd Block,,Jooganahalli,,Bangalore,Karnataka
#381,"61th Cross,10th Main Road",Gavi Mutt,"5th Block,Bhuvaneshwari Nagar  Rajaji Nagar",Bangalore North,Bangalore,Karnataka
#738/1,58th Cross 4th Block,,Rajajinagar,,Bangalore,Karnataka
,,NULL,Rajajinagar,,Bangalore,Karnataka
#C11,Police Qutress,,Rajaji Nagar,,Bangalore,Karnataka
#33/A,20th a main road,,Rajajinagar,,Bangalore,Karnataka
"#371, AVE MARIA","1st STAGE, 2ND PHASE, WEST OF CHORD ROAD",,"MANJUNATHA NAGAR,",Bangalore North,Bangalore,Karnataka
No 185-B,56th Cross 6th Main 4th Block,Near Ram Mandir,Rajajinagar,,Bangalore,Karnataka
136,4th Cross 1st N Block,,Rajajinagar,Bangalore North,Bangalore,Karnataka
# C 97,1 ST MAIN ROAD 1 ST CROSS ROBERTSON BLOCK,,RAMACHANDRA PURAM,Bangalore North,Bangalore,Karnataka
